DataDate,Actual,Predicted,Positive Actual signal,Negative Actual signal,Positive Predicted signal,Negative Predicted signal,Actual Signal,LSTM Predicted Signal
2019-12-20,0.30838056330129177,-0.051184826,1,0,0,-1,1,-1
2019-12-23,-0.6655736799107572,-0.08040566,0,-1,0,-1,-1,-1
2019-12-24,0.6966891030489885,0.052657485,1,0,1,0,1,1
2019-12-26,0.3790942060617827,0.048506048,1,0,1,0,1,1
2019-12-27,-0.32088656873818333,0.039790466,0,-1,1,0,-1,1
2019-12-30,-0.32025318027257543,0.069841,0,-1,1,0,-1,1
2020-01-02,0.4773445766637511,0.12897718,1,0,1,0,1,1
2020-01-03,-0.01893211562398637,0.14789677,0,-1,1,0,-1,1
2020-01-06,-0.3775654426933008,0.1382801,0,-1,1,0,-1,1
2020-01-07,0.6984258159072061,0.1690012,1,0,1,0,1,1
2020-01-08,-0.0878748910247298,0.077483244,0,-1,1,0,-1,1
2020-01-09,0.5006524092814045,0.06513929,1,0,1,0,1,1
2020-01-10,0.23112177337901968,0.031874985,1,0,1,0,1,1
2020-01-13,-0.5763732303040789,0.016544532,0,-1,1,0,-1,1
2020-01-14,-0.027754452436895102,0.10224494,0,-1,1,0,-1,1
2020-01-15,-0.17764460012638736,0.15167654,0,-1,1,0,-1,1
2020-01-16,0.04639409790901161,0.16335225,1,0,1,0,1,1
2020-01-17,1.2010099560126792,0.1671996,1,0,1,0,1,1
2020-01-21,0.07592771991695696,0.0075078006,1,0,1,0,1,1
